brand,model,price,fuel_type,color
bmw,x1 sdrive20d xline,4500000,diesel,white
honda,city 1.5 s mt,450000,petrol,maroon
bmw,5-series 520d luxury line [2017-2019],2149000,diesel,silver
mercedes-benz,gl-class 350 cdi,4200000,diesel,black
tata,nexon xt diesel [2017-2019],860000,diesel,grey
honda,city v,875000,petrol,silver
mahindra,scorpio vlx 4wd bs-iii,580000,diesel,white
mg,gloster savvy 6 str 2.0 twin turbo 4wd,3500000,diesel,black
maruti suzuki,swift dzire vxi,229999,petrol,silver
audi,q3 2.0 tdi quattro premium plus,1513000,diesel,blue
maruti suzuki,alto vxi,234000,petrol,white
datsun,redigo s 1.0 amt [2018-2019],320000,petrol,grey
bmw,x3 xdrive 20d luxury line [2018-2020],5975000,diesel,white
maruti suzuki,vitara brezza zdi plus,1025000,diesel,white
maruti suzuki,dzire vdi,630000,diesel,blue
hyundai,venue sx plus 1.0 turbo dct,1090000,petrol,white
maruti suzuki,swift lxi special edition,700000,petrol,silver
maruti suzuki,swift vxi,661000,petrol,others
mahindra,tuv300 t8,565000,diesel,red
toyota,innova 2.5 g 7 str bs-iv,750000,diesel,silver
audi,q3 35 tdi premium + sunroof,1850000,diesel,white
mahindra,xuv500 w6,850000,diesel,white
hyundai,elite i20 asta 1.4 crdi [2016-2017],535000,diesel,grey
maruti suzuki,dzire vdi amt,770000,diesel,silver
bmw,3-series 330i m sport edition,3650000,petrol,white
kia,sonet gtx plus 1.0 imt [2020-2021],1195000,petrol,red
mercedes-benz,s-class 500l,1650000,petrol,silver
skoda,superb l&k tsi at,3199000,petrol,brown
mercedes-benz,e-class e 200 exclusive [2019-2019],7100000,petrol,grey
volkswagen,polo gt tsi,625000,petrol,white
maruti suzuki,vitara brezza vdi,745000,diesel,white
hyundai,santro sportz,551000,petrol,white
mercedes-benz,e-class e 220 d avantgarde,5950000,diesel,white
land rover,range rover 3.0 v6 diesel vogue,22000000,diesel,blue
mini,cooper d 3 door,3300000,diesel,red
ford,endeavour titanium plus 3.2 4x4 at,3250000,diesel,white
renault,duster 110 ps rxz 4x2 amt diesel,690000,diesel,grey
maruti suzuki,vitara brezza vdi ags,894999,diesel,white
skoda,rapid ambition 1.6 tdi cr mt,550000,diesel,white
ford,ecosport trend 1.5 tdci,399000,diesel,orange
kia,seltos htx 1.5 [2020-2021],1275000,petrol,black
maruti suzuki,eeco 5 str with a/c+htr [2019-2020],535000,petrol,silver
maruti suzuki,vitara brezza vdi,825000,diesel,white
ford,ecosport ambiente 1.5l tdci,585000,diesel,silver
honda,jazz v at petrol,675000,petrol,brown
maruti suzuki,s-cross alpha 1.3,795000,diesel,brown
mercedes-benz,e-class e 200 exclusive [2019-2019],6500000,petrol,black
hyundai,elite i20 sportz 1.4 crdi,611000,diesel,white
maruti suzuki,wagon r vxi,390000,petrol,red
maruti suzuki,swift vxi [2014-2017],650000,petrol,white
renault,fluence 1.5 e4,390000,diesel,silver
audi,a4 35 tdi technology,2400000,diesel,silver
maruti suzuki,swift vxi,385000,petrol,silver
maruti suzuki,swift dzire vxi,450000,petrol,white
hyundai,grand i10 sports edition 1.2l kappa vtvt,649000,petrol,silver
audi,a3 35 tdi premium + sunroof,2900000,diesel,white
maruti suzuki,swift dzire vdi,400000,diesel,white
hyundai,grand i10 nios sportz amt 1.2 kappa vtvt,599000,petrol,silver
toyota,fortuner 2.8 4x2 mt [2016-2020],2980000,diesel,black
audi,a4 30 tfsi technology pack,3500000,petrol,white
honda,jazz v petrol,400000,petrol,red
mercedes-benz,glc 200 progressive,6975000,petrol,white
mercedes-benz,gle 250 d,5400000,diesel,white
mercedes-benz,gl-class 350 cdi,3700000,diesel,black
maruti suzuki,celerio zxi [2017-2019],445000,petrol,white
mahindra,thar lx 4-str hard top diesel mt,1475000,diesel,red
toyota,fortuner 2.8 4x2 at [2016-2020],2800000,diesel,white
maruti suzuki,swift vxi [2014-2017],600000,petrol,white
kia,seltos gtx plus at 1.5 diesel [2019-2020],1835000,diesel,white
maruti suzuki,wagon r lxi 1.0 cng [2019-2020],550000,cng,silver
maruti suzuki,vitara brezza zdi+ dual tone [2017-2018],715000,diesel,red
mahindra,xuv700 ax 7 diesel at 7 str,2540000,diesel,white
maruti suzuki,wagon r lxi (o) 1.0 cng [2019-2020],525000,cng,grey
hyundai,grand i10 sportz (o) 1.2 kappa vtvt [2017-2018],425000,petrol,silver
hyundai,elite i20 sportz 1.2 ivt,795000,petrol,white
honda,city 1.5 v mt,269000,petrol,silver
hyundai,verna fluidic 1.6 crdi,565000,diesel,white
bmw,5-series 520d luxury line,2550000,diesel,blue
hyundai,i20 active 1.2 s,529000,petrol,white
maruti suzuki,alto vxi (o),400000,petrol,white
maruti suzuki,xl6 zeta mt petrol,975000,petrol,blue
bmw,x1 sdrive20d expedition,2600000,diesel,blue
mercedes-benz,gl-class 350 cdi,2390000,diesel,white
kia,seltos gtx plus 1.4 [2020-2021],1550000,petrol,white
maruti suzuki,alto vxi amt,430000,petrol,white
maruti suzuki,baleno delta 1.2,600000,petrol,silver
toyota,corolla altis vl at petrol,1650000,petrol,brown
audi,q7 technology 55 tfsi,9400000,petrol,black
maruti suzuki,alto vxi,250000,petrol,white
mahindra,xuv500 w10 at,994999,diesel,grey
maruti suzuki,vitara brezza ldi (o) [2016-2018],675000,diesel,red
maruti suzuki,swift dzire vxi,455000,petrol,grey
maruti suzuki,wagon r vxi,345000,petrol,grey
bmw,x1 sdrive20i xline,4700000,petrol,white
hyundai,elantra 1.8 sx mt,700000,petrol,white
honda,city e diesel,499000,diesel,white
maruti suzuki,ciaz vxi,590000,petrol,white
nissan,micra xv cvt [2016-2017],490000,petrol,blue
maruti suzuki,dzire vdi amt,695000,diesel,grey
hyundai,venue sx 1.4 crdi,1025000,diesel,silver
volkswagen,tiguan allspace 2.0 tsi,3375000,petrol,silver
toyota,innova 2.4 vx 8 str [2016-2020],2250000,diesel,maroon
mercedes-benz,gla 200 d sport,2650000,diesel,grey
maruti suzuki,baleno delta 1.2,715000,petrol,grey
hyundai,creta sx 1.6 at crdi,1200000,diesel,grey
hyundai,eon 1.0 kappa magna + [2014-2016],275000,petrol,white
honda,city 1.5 v mt,445000,petrol,red
mercedes-benz,a-class a 200d,1850000,diesel,red
maruti suzuki,baleno alpha 1.3,665000,diesel,blue
hyundai,creta ex 1.4 crdi,1090000,diesel,blue
mercedes-benz,s-class s 350 cdi,5500000,diesel,white
audi,a6 35 tdi matrix,2400000,diesel,blue
hyundai,verna sx plus 1.6 crdi at,1085000,diesel,black
hyundai,alcazar signature (o) 6 str 2.0 petrol at,2140000,petrol,grey
honda,amaze 1.2 v cvt petrol [2018-2020],795000,petrol,grey
maruti suzuki,ertiga vxi cng,1080000,cng,white
honda,amaze 1.2 s mt petrol [2018-2020],628000,petrol,maroon
bmw,3-series 320d luxury line,1550000,diesel,red
mercedes-benz,e-class e 200,2400000,petrol,black
honda,city vx (o) mt,595000,petrol,brown
land rover,evoque se,3450000,diesel,blue
honda,wr-v vx mt petrol,819999,petrol,maroon
audi,q5 2.0 tdi quattro premium plus,1490000,diesel,black
mahindra,xuv300 1.5 w6 [2019-2020],950000,diesel,white
jaguar,xf prestige diesel cbu,3750000,diesel,silver
mercedes-benz,c-class c200 progressive,4950000,petrol,blue
jeep,compass model s (o) diesel 4x4 at,2950000,diesel,white
toyota,fortuner 3.0 4x4 mt,1290000,diesel,gold
toyota,etios liva gd,625000,diesel,white
mahindra,xuv500 w10,1490000,diesel,maroon
hyundai,i10 asta 1.2 at with sunroof,325000,petrol,silver
mahindra,xuv500 w10 at,1190000,diesel,black
mahindra,scorpio vlx 2wd airbag bs-iv,625000,diesel,white
land rover,range rover sport sdv6 hse,5375000,diesel,white
honda,city zx cvt petrol [2017-2019],1138000,petrol,silver
audi,a4 1.8 tfsi multitronic premium plus,4250000,petrol,white
honda,brio s mt,365000,petrol,white
chevrolet,cruze ltz at,475000,diesel,white
hyundai,creta sx 1.6 crdi,1225000,diesel,white
maruti suzuki,ertiga vdi shvs,725000,diesel,white
mercedes-benz,gla 200 cdi sport,2450000,diesel,white
hyundai,sonata 2.0 crdi,225000,diesel,silver
maruti suzuki,dzire vxi amt,695000,petrol,silver
toyota,innova 2.8 zx at 7 str [2016-2020],2200000,diesel,grey
honda,amaze 1.5 vx cvt diesel,950000,diesel,white
toyota,innova zx 2.7 at 7 str,2598000,petrol,black
honda,jazz vx petrol,585000,petrol,silver
ford,aspire titanium 1.2 ti-vct,434999,petrol,white
maruti suzuki,swift vdi,295000,diesel,grey
maruti suzuki,ciaz delta 1.5 diesel,910000,diesel,white
maruti suzuki,celerio vxi,565000,petrol,white
toyota,urban cruiser premium grade at,1050000,petrol,white
hyundai,creta e plus 1.4 crdi,990000,diesel,orange
audi,a3 35 tdi premium plus,2590000,diesel,blue
mahindra,xuv500 w8 awd [2015-2017],1000000,diesel,white
hyundai,i10 1.1l irde era special edition,254999,petrol,white
hyundai,verna fluidic 1.6 vtvt sx at,598000,petrol,silver
hyundai,elite i20 asta 1.4 (o) crdi,560000,diesel,white
audi,a4 2.0 tdi (177bhp) premium,975000,diesel,silver
audi,a3 35 tdi premium,2600000,diesel,blue
skoda,rapid ambition 1.6 tdi cr mt,745000,diesel,silver
hyundai,grand i10 asta 1.2 kappa vtvt,495000,petrol,silver
audi,a3 40 tfsi premium plus + sunroof,2450000,petrol,blue
mercedes-benz,c-class c 220 cdi avantgarde,2850000,diesel,white
mahindra,scorpio s10,925000,diesel,white
toyota,fortuner 3.0 4x2 at,1075000,diesel,white
mercedes-benz,e-class e 350 d exclusive [2017-2019],6225000,diesel,silver
audi,a6 2.0 tdi premium,1500000,diesel,blue
mitsubishi,pajero sfx 2.8,625000,diesel,white
toyota,etios g,325000,petrol,red
mahindra,marazzo m6 plus 8 str,1485000,diesel,white
audi,a6 3.0 tdi quattro premium,1650000,diesel,white
audi,a3 35 tdi premium,1800000,diesel,blue
toyota,innova 2.5 vx 7 str bs-iii,1290000,diesel,silver
nissan,terrano xl d plus,600000,diesel,white
hyundai,grand i10 asta at 1.2 kappa vtvt [2013-2016],436000,petrol,white
toyota,fortuner 2.8 4x4 at [2016-2020],4300000,diesel,white
datsun,go t (o),270000,petrol,silver
hyundai,creta sx 1.4 turbo 7 dct,1911000,petrol,black
bmw,x5 xdrive30d xline,8600000,diesel,blue
mercedes-benz,c-class c 220d progressive [2018-2019],3900000,diesel,beige
volvo,v40 d3 r-design,2000000,diesel,red
hyundai,santro sportz amt [2018-2020],465000,petrol,gold
honda,city v,875000,petrol,grey
mahindra,tuv300 t6 plus,850000,diesel,white
renault,kwid 1.0 rxt amt opt,426999,petrol,others
mercedes-benz,gle 300d 4matic lwb,9200000,diesel,blue
hyundai,creta 1.6 sx,1035000,diesel,grey
maruti suzuki,dzire zxi,695000,petrol,grey
bmw,x1 sdrive20d xline,3675000,diesel,white
mahindra,thar lx 4-str hard top diesel at,1700000,diesel,black
tata,tiago revotron xz,449000,petrol,orange
mercedes-benz,c-class 220 cdi at,5400000,diesel,white
mg,gloster sharp 6 str 2.0 twin turbo 4wd,3950000,diesel,silver
hyundai,elite i20 sportz 1.4,565000,diesel,white
bmw,x1 sdrive20d xline,3775000,diesel,black
mercedes-benz,e-class e220 cdi blue efficiency,1275000,diesel,brown
renault,kwid 1.0 rxt edition,375000,petrol,green
maruti suzuki,vitara brezza zdi,949000,diesel,blue
maruti suzuki,swift zdi plus,775000,diesel,white
audi,a6 2.0 tdi premium plus,1800000,diesel,white
honda,city vx cvt,825000,petrol,white
hyundai,santro magna [2018-2020],509999,petrol,silver
mahindra,scorpio s11 2wd 7 str,1350000,diesel,black
hyundai,grand i10 sportz 1.2 kappa vtvt [2016-2017],650000,petrol,grey
honda,city zx diesel,1490000,diesel,white
maruti suzuki,baleno sigma 1.2,545000,petrol,white
bmw,3-series 320d luxury line,2950000,diesel,white
mercedes-benz,e-class e350 cdi avantgarde,1150000,diesel,silver
audi,q3 2.0 tdi quattro premium,1850000,diesel,white
mercedes-benz,e-class e250 cdi avantgarde,1750000,diesel,brown
audi,q7 45 tdi premium plus,5500000,diesel,white
nissan,sunny xv diesel,360000,diesel,grey
ford,ecosport titanium 1.5l ti-vct,625000,petrol,blue
bmw,3-series 320d luxury line,4150000,diesel,blue
mahindra,thar lx 4-str hard top diesel mt,1698999,diesel,brown
maruti suzuki,baleno delta 1.2,484999,petrol,silver
audi,a4 30 tfsi premium plus,4250000,petrol,white
maruti suzuki,ertiga vxi cng,800000,cng,silver
hyundai,creta sx 1.6 (o) petrol,1275000,petrol,grey
porsche,718 boxster,9500000,petrol,yellow
bmw,3-series 320d luxury line,1375000,diesel,white
hyundai,creta sx 1.5 diesel [2020-2022],1700000,diesel,black
mahindra,xuv500 w6 2013,500000,diesel,black
mercedes-benz,glc 220d 4matic progressive [2019-2021],6800000,diesel,silver
maruti suzuki,dzire vxi amt,715000,petrol,brown
maruti suzuki,wagon r vxi+ amt,380000,petrol,grey
honda,brio e mt,375000,petrol,silver
land rover,range rover sport sdv6 se,7200000,diesel,white
mercedes-benz,gle 300d 4matic lwb,8190000,diesel,bronze
maruti suzuki,swift zxi amt [2018-2019],695000,petrol,blue
hyundai,creta 1.6 sx (o),875000,diesel,white
land rover,discovery sport hse luxury,3500000,diesel,red
hyundai,i20 active 1.2 sx,685000,petrol,brown
tata,safari xz plus,1875000,diesel,white
skoda,octavia 1.8 tsi ambition plus at,1685000,petrol,grey
audi,a6 35 tdi matrix,2550000,diesel,white
hyundai,creta sx 1.6 crdi,869999,diesel,white
mahindra,thar crde 4x4 ac,875000,diesel,white
audi,q3 2.0 tdi quattro premium,1390000,diesel,blue
maruti suzuki,vitara brezza vdi (o) [2016-2018],825000,diesel,silver
maruti suzuki,ciaz zeta 1.4 at,785000,petrol,blue
mercedes-benz,gla 200 cdi sport,2145000,diesel,white
maruti suzuki,eeco 5 str with htr cng [2018-2019],590000,cng,white
jaguar,xj 3.0 petrol,2550000,petrol,white
mercedes-benz,e-class e 220 d avantgarde,6500000,diesel,white
volkswagen,polo highline1.2l (p),490000,petrol,white
bmw,7-series 730ld dpe,5950000,diesel,white
renault,kwid 1.0 rxt [2016-2019],420000,petrol,grey
hyundai,tucson gl 2wd at diesel,2395000,diesel,white
hyundai,i20 sportz 1.4 crdi,360000,diesel,white
nissan,sunny xv diesel,325000,diesel,grey
land rover,evoque dynamic sd4,2300000,diesel,red
maruti suzuki,ertiga vxi cng,642000,cng,others
hyundai,eon era +,290000,petrol,white
hyundai,grand i10 asta 1.2 kappa vtvt [2013-2016],390000,petrol,grey
toyota,corolla altis 1.8 g at,890000,petrol,grey
maruti suzuki,swift lxi,440000,petrol,white
maruti suzuki,ciaz delta 1.4 mt,721000,petrol,white
skoda,octavia 1.8 tsi l&k,1515000,petrol,others
land rover,discovery sport se r-dynamic petrol,7000000,petrol,white
honda,city v,949000,petrol,grey
mercedes-benz,e-class e 220d exclusive [2019-2019],5500000,diesel,white
renault,kwid rxt [2015-2019],319000,petrol,others
maruti suzuki,ertiga vdi,459999,diesel,white
volvo,v40 d3 r-design,2100000,diesel,red
maruti suzuki,baleno delta 1.2,685000,petrol,red
toyota,etios gd,300000,diesel,silver
mercedes-benz,gle 250 d,5400000,diesel,white
mercedes-benz,a-class sedan 200d,4100000,diesel,white
mercedes-benz,gls 350 d,6875000,diesel,white
hyundai,creta sx 1.6 (o) petrol,1115000,petrol,black
honda,city v cvt petrol [2017-2019],761000,petrol,grey
maruti suzuki,baleno zeta 1.2,825000,petrol,yellow
hyundai,elite i20 magna 1.4 crdi [2016-2017],650000,diesel,white
honda,jazz v petrol,565000,petrol,grey
mercedes-benz,s-class 350,750000,petrol,silver
hyundai,grand i10 nios sportz amt 1.2 kappa vtvt,685000,petrol,blue
hyundai,elite i20 magna executive 1.2,609000,petrol,blue
mahindra,scorpio lx bs-iii,365000,diesel,green
audi,q7 45 tdi premium plus,5175000,diesel,blue
toyota,innova 2.8 zx at 7 str [2016-2020],2175000,diesel,bronze
ssangyong,rexton rx7,675000,diesel,white
bmw,x5 3.0d,1400000,diesel,green
honda,amaze 1.2 s i-vtec opt,480000,petrol,white
bmw,5-series 520d luxury line [2017-2019],5800000,diesel,black
audi,q7 45 tdi technology pack,6700000,diesel,blue
hyundai,elantra 1.6 sx at,625000,diesel,white
isuzu,mu-x 4x2,1791000,diesel,silver
maruti suzuki,eeco 5 str with a/c+htr [2019-2020],422000,petrol,white
audi,a4 premium plus 40 tfsi,4200000,petrol,black
toyota,corolla altis vl at petrol,1295000,petrol,beige
hyundai,grand i10 asta 1.2 kappa vtvt (o) [2013-2017],495000,petrol,orange
tata,tiago revotron xta [2017-2019],585000,petrol,silver
mercedes-benz,c-class c 220d progressive [2018-2019],3950000,diesel,white
mercedes-benz,e-class e 220d exclusive [2019-2019],7475000,diesel,black
skoda,rapid elegance 1.6 mpi at,425000,petrol,white
mercedes-benz,e-class e 220d expression [2019-2019],4150000,diesel,black
audi,q7 35 tdi premium plus + sunroof,2475000,diesel,black
bmw,5-series 520d sport line,2990000,diesel,white
renault,duster 85 ps rxl diesel,280000,diesel,white
mercedes-benz,s-class 350,1500000,petrol,red
bmw,6-series gt 630d luxury line [2018-2019],5100000,diesel,blue
toyota,fortuner 3.0 mt,825000,diesel,black
maruti suzuki,wagon r lxi cng (o),310000,cng,white
honda,jazz v at petrol,595000,petrol,grey
jeep,compass limited 2.0 diesel [2017-2020],1240000,diesel,white
maruti suzuki,eeco 5 str with a/c+htr [2019-2020],328000,petrol,black
hyundai,elite i20 sportz 1.2,625000,petrol,red
maruti suzuki,swift vdi,409999,diesel,white
maruti suzuki,swift dzire zxi,545000,petrol,silver
volkswagen,polo trendline 1.0l (p),699000,petrol,red
maruti suzuki,celerio lxi,390000,petrol,white
toyota,corolla altis gl,680000,diesel,white
maruti suzuki,ciaz zdi shvs,625000,diesel,white
maruti suzuki,wagon r lxi lpg,235000,lpg,green
mahindra,scorpio s2,951000,diesel,white
honda,city 1.5 v at,550000,petrol,black
jeep,compass limited 1.4 petrol at [2017-2020],1350000,petrol,blue
hyundai,i10 magna 1.2 kappa2,325000,petrol,red
audi,q7 35 tdi premium + sunroof,2600000,diesel,black
maruti suzuki,ciaz zxi+,640000,petrol,white
toyota,corolla altis 1.8 vl at,450000,petrol,white
bmw,5-series 520d sedan,750000,diesel,blue
audi,a6 technology 45 tfsi,5300000,petrol,grey
volvo,xc60 inscription [2017-2020],5800000,diesel,white
maruti suzuki,vitara brezza zdi,801000,diesel,silver
mahindra,scorpio s6 plus 1.99 [2016-2017],1090000,diesel,white
maruti suzuki,alto vxi,245000,petrol,maroon
honda,amaze 1.2 s i-vtec,475000,petrol,silver
toyota,fortuner 2.8 4x4 at [2016-2020],2800000,diesel,white
audi,a3 35 tdi premium,2950000,diesel,white
hyundai,grand i10 magna 1.2 kappa vtvt [2013-2016],545000,petrol,white
ford,endeavour titanium 2.0 4x2 at,3975000,diesel,black
mercedes-benz,glc 220 d progressive,4200000,diesel,white
hyundai,xcent sx crdi,434999,diesel,white
renault,kwid rxt [2015-2019],315000,petrol,bronze
ssangyong,rexton rx6,900000,diesel,black
honda,city vx,550000,petrol,grey
bmw,x3 xdrive-20d xline,4400000,diesel,white
toyota,fortuner 3.0 4x2 at,1600000,diesel,gold
datsun,redigo t(o) 1.0 [2017-2019],198000,petrol,red
hyundai,i10 magna 1.1 lpg,225000,lpg,red
renault,kwid rxt [2015-2019],315000,petrol,bronze
honda,city v,775000,petrol,maroon
maruti suzuki,dzire vxi amt,625000,petrol,silver
hyundai,creta sx plus 1.6 crdi dual tone,775000,diesel,red
toyota,innova 2.4 g 7 str [2016-2017],1549000,diesel,brown
bmw,3-series 320d prestige,1679000,diesel,blue
maruti suzuki,swift zxi amt [2018-2019],725000,petrol,white
hyundai,verna fluidic 1.6 crdi sx,540000,diesel,silver
volkswagen,polo highline1.2l (d),350000,diesel,blue
volvo,v40 d3 r-design,1689999,diesel,white
nissan,magnite xl,625000,petrol,white
maruti suzuki,celerio zxi [2019-2020],475000,petrol,grey
kia,seltos htk plus 1.5 diesel,1650000,diesel,white
hyundai,santro era,409999,petrol,silver
land rover,range rover sport sdv6 s,5900000,diesel,grey
toyota,innova 2.4 vx 7 str [2016-2020],2100000,diesel,bronze
bmw,5-series 520d luxury line [2017-2019],2750000,diesel,black
maruti suzuki,ignis zeta 1.2 amt,545000,petrol,blue
tata,safari 2.2 vx 4x2,740000,diesel,black
mercedes-benz,e-class e 200,2400000,petrol,black
bmw,5-series 520d luxury line [2017-2019],4500000,diesel,grey
maruti suzuki,swift vxi,465000,petrol,white
fiat,punto active 1.3,375000,diesel,maroon
audi,q3 30 tdi premium fwd,2900000,diesel,white
honda,wr-v vx mt petrol,795000,petrol,white
mercedes-benz,c-class c 300d amg line,5250000,diesel,blue
audi,a3 35 tdi premium,2900000,diesel,white
mercedes-benz,gla 200 sport,2250000,petrol,silver
honda,city vx cvt petrol [2017-2019],1050000,petrol,silver
hyundai,grand i10 asta 1.2 kappa vtvt [2013-2016],765000,petrol,silver
maruti suzuki,s-cross sigma 1.3,675000,diesel,brown
audi,a6 35 tdi matrix,2400000,diesel,blue
maruti suzuki,eeco 7 str [2019-2020],509999,petrol,silver
mahindra,xuv700 ax 7 diesel at awd luxury pack 7 str,2750000,diesel,black
audi,a7 sportback 3.0 tdi quattro,2600000,diesel,white
honda,city 1.5 v at,495000,petrol,red
audi,q7 35 tdi premium + sunroof,2400000,diesel,blue
hyundai,grand i10 magna 1.2 kappa vtvt [2013-2016],495000,petrol,white
land rover,discovery sport hse 7-seater,4200000,diesel,white
toyota,fortuner 2.8 4x2 at [2016-2020],2550000,diesel,black
maruti suzuki,swift dzire ldi,480000,diesel,white
hyundai,creta 1.6 sx (o),1750000,diesel,black
maruti suzuki,ertiga zdi + shvs,850000,diesel,silver
hyundai,santro sportz amt [2018-2020],434999,petrol,silver
hyundai,venue sx (o) 1.0 turbo imt,1070000,petrol,white
honda,city zx cvt petrol,1530000,petrol,grey
hyundai,creta sx 1.5 diesel [2020-2022],1598000,diesel,maroon
hyundai,verna 1.6 vtvt sx,645000,petrol,white
maruti suzuki,swift dzire zdi amt,650000,diesel,silver
volkswagen,vento highline diesel,545000,diesel,silver
honda,city v petrol,1095000,petrol,silver
toyota,innova 2.8 zx at 7 str [2016-2020],1975000,diesel,grey
rolls-royce,ghost 6.5,18000000,petrol,maroon
audi,q3 35 tdi technology with navigation,1839000,diesel,blue
skoda,superb l&k tsi at,1500000,petrol,white
audi,q3 35 tdi quattro premium plus,2100000,diesel,silver
volkswagen,polo comfortline 1.5l (d),345000,diesel,red
honda,city v,850000,petrol,silver
hyundai,creta sx 1.6 at crdi,1425000,diesel,white
hyundai,elite i20 asta 1.2,675000,petrol,white
mahindra,xuv300 1.5 w6 [2019-2020],925000,diesel,silver
hyundai,eon era +,210000,petrol,red
tata,nexon xm,760000,petrol,grey
hyundai,verna 1.6 crdi sx,640000,diesel,white
maruti suzuki,swift vxi,340000,petrol,white
land rover,discovery sport se r-dynamic,5995000,diesel,white
honda,city s petrol,695000,petrol,white
ford,figo trend 1.5l tdci [2015-2016],465000,diesel,orange
toyota,glanza v,735000,petrol,silver
mercedes-benz,e-class e 200 avantgarde,1300000,petrol,red
hyundai,alcazar prestige 7 str 1.5 diesel,1848999,diesel,white
honda,city v,685000,petrol,bronze
hyundai,santa fe 2wd at [2014-2017],875000,diesel,white
toyota,innova 2.8 zx at 7 str [2016-2020],2039999,diesel,bronze
toyota,glanza g,700000,petrol,red
maruti suzuki,wagon r vxi 1.2,550000,petrol,blue
hyundai,santa fe 2wd at [2014-2017],825000,diesel,silver
toyota,innova 2.4 zx 7 str [2016-2020],3100000,diesel,white
audi,a6 2.0 tdi premium,1400000,diesel,grey
maruti suzuki,swift vxi,425000,petrol,white
lexus,nx 300h luxury [2017-2020],4375000,petrol,black
toyota,innova zx 2.4 at 7 str,3000000,diesel,purple
mercedes-benz,glc 200 progressive,6600000,petrol,white
maruti suzuki,vitara brezza zdi+ dual tone [2017-2018],640000,diesel,blue
hyundai,santro gl (cng),275000,cng,white
hyundai,elite i20 sportz 1.2 [2016-2017],695000,petrol,blue
honda,city 1.5 v at,245000,petrol,grey
renault,duster 110 ps rxl,690000,diesel,grey
volkswagen,taigun highline 1.0 tsi at,1500000,petrol,silver
maruti suzuki,alto vxi,270000,petrol,white
hyundai,i20 active 1.4 s,545000,diesel,white
mg,hector plus sharp 1.5 dct petrol,1875000,petrol,red
renault,kwid rxt [2015-2019],254999,petrol,silver
land rover,discovery hse,2785000,diesel,blue
mahindra,thar lx 4-str hard top diesel mt,1800000,diesel,black
honda,city 1.5 v at,475000,petrol,red
hyundai,elite i20 sportz 1.2 (o),650000,petrol,white
toyota,fortuner 3.0 4x4 mt,1199000,diesel,grey
hyundai,santa fe 4 wd (at),650000,diesel,white
mahindra,scorpio s2,795000,diesel,white
mercedes-benz,c-class c 200 avantgarde,2385000,petrol,black
audi,q5 2.0 tdi quattro premium,1700000,diesel,brown
hyundai,verna fluidic 1.6 vtvt sx opt,380000,petrol,grey
renault,kwid 1.0 rxt [2016-2019],295000,petrol,red
tata,harrier xz,1750000,diesel,silver
mahindra,thar crde 4x4 non ac,525000,diesel,green
audi,a3 35 tfsi premium plus,2180000,petrol,blue
ford,mustang gt fastback 5.0l v8,8000000,petrol,black
jaguar,f-pace prestige,4325000,diesel,grey
maruti suzuki,alto lxi cng,155000,cng,gold
maruti suzuki,dzire zxi plus amt,735000,petrol,blue
skoda,rapid style 1.6 mpi at,900000,petrol,grey
skoda,superb elegance 1.8 tsi at,795000,petrol,white
mini,cooper d 3 door,3300000,diesel,green
toyota,fortuner 2.8 4x2 at [2016-2020],3775000,diesel,white
maruti suzuki,vitara brezza vdi,725000,diesel,white
volvo,s60 kinetic d4,994999,diesel,white
maruti suzuki,vitara brezza vdi (o) [2016-2018],785000,diesel,grey
porsche,macan s [2019-2020],7500000,petrol,blue
toyota,fortuner 2.8 4x2 at [2016-2020],2799000,diesel,white
maruti suzuki,wagon r vxi,390000,petrol,others
porsche,macan base [2019-2020],9000000,petrol,red
maruti suzuki,baleno zeta 1.2 at,675000,petrol,blue
maruti suzuki,eeco 5 str [2014-2019],320000,petrol,blue
maruti suzuki,baleno zeta 1.2 at,840000,petrol,maroon
maruti suzuki,wagon r vxi,310000,petrol,brown
maruti suzuki,ertiga lxi,795000,petrol,grey
maruti suzuki,wagon r lxi cng,310000,cng,white
toyota,glanza g,860000,petrol,blue
hyundai,i10 magna 1.2 kappa2,390000,petrol,white
maruti suzuki,swift dzire ldi,520000,diesel,white
maruti suzuki,vitara brezza vdi (o) [2016-2018],675000,diesel,white
maruti suzuki,s-presso vxi,475000,petrol,red
maruti suzuki,alto 800 lxi,265000,petrol,white
skoda,rapid ambition 1.6 tdi cr mt,950000,diesel,silver
toyota,fortuner 3.0 4x2 at,1750000,diesel,white
audi,a3 35 tdi premium plus + sunroof,2225000,diesel,white
jeep,compass sport 1.4 petrol,1748999,petrol,black
mercedes-benz,m-class ml 250 cdi,2250000,diesel,white
hyundai,elite i20 asta 1.2 (o) [2016],690000,petrol,red
maruti suzuki,baleno zeta 1.2,561000,petrol,brown
maruti suzuki,swift dzire vxi at,595000,petrol,silver
hyundai,i20 magna (o) 1.2,450000,petrol,brown
mercedes-benz,gle 250 d,4590000,diesel,black
audi,q3 35 tdi technology,2150000,diesel,black
kia,seltos gtx plus 1.4 dct,1850000,petrol,black
hyundai,elantra sx (o) 2.0 at,1175000,petrol,white
hyundai,accent executive,400000,petrol,white
hyundai,creta sx 1.6 crdi,1100000,diesel,red
hyundai,i10 sportz 1.2 kappa2,395000,petrol,maroon
